Report generated: 2025-10-09T12:20:27.895Z
Name | ID | AddedDate
Gundam vs. Gundam (GVS1 Ver. A) | gdvsgd | 
Gundam vs. Gundam Next | gdvsgdnx | 
Gekitou Pro Yakyuu | GekitouProYakyuu | 
SEGA Golden Gun | GG | 
Guilty Gear: Strive | GGS | 
Guilty Gear Xrd REV2 | GGXrd | 
Guilty Gear Xrd REV2 (APM3) | GGXrdAPM3 | 
Guilty Gear Xrd -SIGN- | GGXrdSIGN | 
Guilty Gear XX Accent Core Plus R | GGXX | 
Guitar Hero Arcade | GHA | 
GhostBusters | GhostBusters | 
GigaWing Generations | GigaWingGenerations | 
GoGo Drummer Babe | GoGoDrummer | 2024-12-12
Go Go Strike | GoGoStrike | 2024-05-31
Gouketsuji Ichizoku: Senzo Kuyou for NESiCAxLive | Goketsuji | 
Golden Tee Live 2006 | GoldenTeeLive2006 | 
Golden Tee Live 2007 | GoldenTeeLive2007 | 
Golden Tee Live 2008 | GoldenTeeLive2008 | 
Golden Tee Live 2009 | GoldenTeeLive2009 | 
Golden Tee Live 2010 | GoldenTeeLive2010 | 
Golden Tee Live 2011 | GoldenTeeLive2011 | 
Golden Tee Live 2012 | GoldenTeeLive2012 | 
Golden Tee Live 2013 | GoldenTeeLive2013 | 
Golden Tee Live 2014 | GoldenTeeLive2014 | 
Golden Tee Live 2015 | GoldenTeeLive2015 | 
Goonya Fighter | GoonyaFighter | 
GRID | GRID | 
Groove Coaster 2: Heavenly Festival | GrooveCoaster2 | 
M.S. Gundam SEED Destiny O.M.N.I. vs Z.A.F.T. II | gsd | 
Ghost Squad Evolution | GSEVO | 
Ghost Squad Evolution (Elfloader2) | GSEVOELF2 | 
GTI Club: Supermini Festa! | GtiClub3 | 
Gundam Kizuna 2 | GundamKizuna2 | 
Mobile Suit Gundam: Bonds of the Battlefield | GundamPod | 
Gundam Spirits Of Zeon | GundamSpiritsOfZeon | 
M.S. Gundam SEED Destiny O.M.N.I. vs Z.A.F.T. | gundzaft | 
Gunslinger Stratos 3 | Gunslinger | 
H2Overdrive | H2Overdrive | 
Harikiri Baseball | Harikiri | 
Harley-Davidson: King of the Road | Harley | 
Haunted Museum | HauntedMuseum | 
Haunted Museum II | HauntedMuseumII | 
Homura for NESiCAxLive | Homura | 
Horse Riders 2 | HorseRiders | 
The House of the Dead 4 | HOTD4 | 
The House of the Dead 4 (Elfloader2) | HOTD4ELF2 | 
The House of the Dead 4 Special | HOTD4SP | 
The House of the Dead 4 Special (Elfloader2) | HOTD4SPELF2 | 
The House of the Dead EX | HOTDEX | 
House of the Dead: Scarlet Dawn | HOTDSD | 
Hot Wheels | HotWheels | 
Hummer | Hummer | 2024-10-12
Hummer Extreme Edition | hummerextreme | 
Hyper Sports (Remake) | HyperSportsChina | 
Hyper Street Fighter II - The Anniversary Edition for NESiCAxLive | HyperStreetFighterII | 
Initial D: Arcade Stage 4 (Export) | ID4Exp | 
Initial D: Arcade Stage 4 (Japanese) | ID4Jap | 
Initial D: Arcade Stage 5 (Export) | ID5 | 
Initial D: Arcade Stage 6 Double Ace | ID6 | 
Initial D: Arcade Stage 7 Double Ace Cross | ID7 | 
Initial D: Arcade Stage 8 Infinity | ID8 | 
Initial D: The Arcade (Season 3) | IDTA | 
Initial D: Arcade Stage Zero | IDZ | 
Initial D: Arcade Stage Zero | IDZTP | 
Initial D: Arcade Stage Zero Ver.2 | IDZv2 | 
Initial D: Arcade Stage Zero Ver.2 | IDZv2TP | 
Ikaruga for NESiCAxLive | Ikaruga | 
Infinity Blade FX | InfinityBladeFX | 
Injustice | Injustice | 
JoJo's Bizarre Adventure: Last Survivor | JojoLastSurvivor | 
Jurassic Park | JurassicPark | 
Justice League - Heroes United | JusticeLeague | 
Kasiori | Kasiori | 
Key of Avalon | KeyOfAvalon | 
The King of Fighters 2002: Unlimited Match for NESiCAxLive | KingofFighters2002 | 2024-09-26
The King of Fighters '98 Ultimate Match Final Edition for NESiCAxLive | KingofFighters98UltimateMatchFinalEditionNesica | 
The King of Fighters '98 Ultimate Match | KingofFighters98UnlimitedMatch | 
KOF Maximum Impact Regulation A | KingofFightersMaximumImpactRegulationA | 
KOF Sky Stage | KingofFightersSkyStage | 
The King of Fighters XII | KingofFightersXII | 
The King of Fighters XIII | KingofFightersXIII | 
The King of Fighters XIII Climax | KingofFightersXIIIClimax | 
The King of Fighters XIII Climax (Nesica) | KingofFightersXIIIClimaxNesica | 
The King of Fighters XIV | KingOfFightersXIV | 
Kinnikuman Muscle Grand Prix | kinniku | 
Kinnikuman Muscle Grand Prix 2 | kinniku2 | 
K.O. Drive (Prototype) | KODrive | 
Koihime Enbu | Koihime | 
Koihime † Performance Ryorai Ryorai Version 3 APM3 Edition | KoihimeEnbuAPM3 | 
K-On! After School Rhythm Selection | KOn2 | 
Lethal Enforcers 3 | LethalEnforcers3 | 
Let's Go Island: Lost on the Island of Tropics | LGI | 
Let's Go Island 3D: Lost on the Island of Tropics | LGI3D | 
Let's Go Jungle: Lost on the Island of Spice | LGJ | 
Let's Go Jungle Special | LGJS | 
Let's Go Safari | LGS | 
Lost Land Adventure | LostLand | 
Luigi's Mansion Arcade | LuigisMansion | 
Lupin 3 | Lupin3 | 
Magical Beat | MagicalBeat | 
maimai GreeN | MaiMaiGreen | 
New Super Mario Bros Wii Coin World | MarioBros | 
Mario Kart Arcade GP | MarioKartGP | 
Mario Kart Arcade GP 2 | MarioKartGP2 | 
Mars Sortie | MarsSortie | 
Maximum Heat 3D | MaximumHeat | 
Melty Blood: Actress Again - Current Code | MB | 
Super Monkey Ball: Ticket Blitz | Mballblitz | 
Medaru No Gunman | MedaruNoGunman | 
Melty Blood (RE2) | MeltyBloodRE2 | 
MilkChan | MilkChan | 
Million Arthur: Arcana Blood | MillionArthurArcanaBlood | 2024-12-25
Mission Impossible | MissionImpossible | 
Mario Kart: Arcade GP DX | MKDX | 
Mario Kart: Arcade GP DX 1.18 | MKDX118 | 
Mario Kart DX USA | MKDXUSA | 
Mario Kart DX USA (1.06/OF) | MKDXUSA106 | 
Moto GP | MotoGP | 
Moto GP | motogp2000 | 
MachStorm | MS | 
Music GunGun 2 | MusicGunGun2 | 
NERF Arcade | NERF | 
Need For Speed HEAT Takedown | NFSHeatTakedown | 
Nicktoons Nitro Racing | NicktoonsNitro | 
Nirin | Nirin | 
Nitro+ Blasterz: Heroines Infinite Duel | NitroplusBlasterz | 
Nosferatu Lilinor | Nosferatu | 
Orange County Choppers | OCCPinball | 
Offroad Thunder | OffroadThunder | 
Operation G.H.O.S.T. | OG | 
OutRun 2 SP SDX | or2spdlx | 
Otoshu DX | OtoshuDX | 
Pac-Man's Arcade Party | pacmanap | 
Pac-Man Battle Royale | pacmanbr | 
Pacman Chomp-Mania | PacmanChomp | 
Pengo Online | Pengo5 | 
P4U: Persona 4 The Ultimate in Mayonaka Arena | Persona4A | 
P4UU: Persona 4 The Ultimax Ultra Suplex Hold | Persona4U | 
Phantom Breaker: Another Code | PhantomBreaker | 
Point Blank X | PointBlankX | 
Pokkén Tournament | PokkenTournament | 
Police Trainer 2 | PoliceTrainer2 | 2024-01-01
Gouketsuji Ichizoku: Senzo Kuyou (Taito Type X2) | PowerInstinctV | 
Power Putt Live 2012 | PowerPuttLive2012 | 
Power Putt Live 2013 | PowerPuttLive2013 | 
Puyo Puyo!! Quest Arcade | PPQ | 
Pride GP 2003 | prdgp03 | 
Primeval Hunt | Primevil | 
Project Diva Arcade | ProjectDiva | 
Psychic Force 2012 for NESiCAxLive | PsychicForce2012 | 2024-09-23
PuckOff | PuckOff | 2024-08-24
Pull The Trigger | PullTheTrigger | 2024-12-08
Puyo Puyo eSports | PuyoPuyoEsports | 
Puzzle Bobble for NESiCAxLive | PuzzleBobble | 
Quiz Magic Academy 1 | QMA | 
